,path,n_tasks,conservative,target_test_size,model_type,s,target_task,decay_rate
84,exp84,15,True,0.8,nn,medium_bw,6,0.5
85,exp85,15,True,0.8,lm,medium_bw,6,0.5
86,exp86,15,True,0.8,nn,medium_bw,6,1.0
87,exp87,15,True,0.8,lm,medium_bw,6,1.0
88,exp88,15,True,0.8,nn,medium_bw,7,0.5
89,exp89,15,True,0.8,lm,medium_bw,7,0.5
90,exp90,15,True,0.8,nn,medium_bw,7,1.0
91,exp91,15,True,0.8,lm,medium_bw,7,1.0
92,exp92,15,True,0.8,nn,medium_bw,8,0.5
93,exp93,15,True,0.8,lm,medium_bw,8,0.5
94,exp94,15,True,0.8,nn,medium_bw,8,1.0
95,exp95,15,True,0.8,lm,medium_bw,8,1.0
96,exp96,15,True,0.8,nn,medium_bw,9,0.5
97,exp97,15,True,0.8,lm,medium_bw,9,0.5
98,exp98,15,True,0.8,nn,medium_bw,9,1.0
99,exp99,15,True,0.8,lm,medium_bw,9,1.0
100,exp100,15,True,0.8,nn,medium_bw,10,0.5
101,exp101,15,True,0.8,lm,medium_bw,10,0.5
102,exp102,15,True,0.8,nn,medium_bw,10,1.0
103,exp103,15,True,0.8,lm,medium_bw,10,1.0
104,exp104,15,True,0.8,nn,medium_bw,11,0.5
105,exp105,15,True,0.8,lm,medium_bw,11,0.5
106,exp106,15,True,0.8,nn,medium_bw,11,1.0
107,exp107,15,True,0.8,lm,medium_bw,11,1.0
108,exp108,15,True,0.8,nn,medium_bw,12,0.5
109,exp109,15,True,0.8,lm,medium_bw,12,0.5
110,exp110,15,True,0.8,nn,medium_bw,12,1.0
111,exp111,15,True,0.8,lm,medium_bw,12,1.0
112,exp112,15,True,0.8,nn,medium_bw,13,0.5
113,exp113,15,True,0.8,lm,medium_bw,13,0.5
114,exp114,15,True,0.8,nn,medium_bw,13,1.0
115,exp115,15,True,0.8,lm,medium_bw,13,1.0
116,exp116,15,True,0.8,nn,medium_bw,14,0.5
117,exp117,15,True,0.8,lm,medium_bw,14,0.5
118,exp118,15,True,0.8,nn,medium_bw,14,1.0
119,exp119,15,True,0.8,lm,medium_bw,14,1.0
120,exp120,15,True,0.8,nn,low_bw,0,0.5
121,exp121,15,True,0.8,lm,low_bw,0,0.5
122,exp122,15,True,0.8,nn,low_bw,0,1.0
123,exp123,15,True,0.8,lm,low_bw,0,1.0
124,exp124,15,True,0.8,nn,low_bw,1,0.5
125,exp125,15,True,0.8,lm,low_bw,1,0.5
126,exp126,15,True,0.8,nn,low_bw,1,1.0
127,exp127,15,True,0.8,lm,low_bw,1,1.0
128,exp128,15,True,0.8,nn,low_bw,2,0.5
129,exp129,15,True,0.8,lm,low_bw,2,0.5
130,exp130,15,True,0.8,nn,low_bw,2,1.0
131,exp131,15,True,0.8,lm,low_bw,2,1.0
132,exp132,15,True,0.8,nn,low_bw,3,0.5
133,exp133,15,True,0.8,lm,low_bw,3,0.5
134,exp134,15,True,0.8,nn,low_bw,3,1.0
135,exp135,15,True,0.8,lm,low_bw,3,1.0
136,exp136,15,True,0.8,nn,low_bw,4,0.5
137,exp137,15,True,0.8,lm,low_bw,4,0.5
138,exp138,15,True,0.8,nn,low_bw,4,1.0
139,exp139,15,True,0.8,lm,low_bw,4,1.0
140,exp140,15,True,0.8,nn,low_bw,5,0.5
141,exp141,15,True,0.8,lm,low_bw,5,0.5
142,exp142,15,True,0.8,nn,low_bw,5,1.0
143,exp143,15,True,0.8,lm,low_bw,5,1.0
144,exp144,15,True,0.8,nn,low_bw,6,0.5
145,exp145,15,True,0.8,lm,low_bw,6,0.5
146,exp146,15,True,0.8,nn,low_bw,6,1.0
147,exp147,15,True,0.8,lm,low_bw,6,1.0
148,exp148,15,True,0.8,nn,low_bw,7,0.5
149,exp149,15,True,0.8,lm,low_bw,7,0.5
150,exp150,15,True,0.8,nn,low_bw,7,1.0
151,exp151,15,True,0.8,lm,low_bw,7,1.0
152,exp152,15,True,0.8,nn,low_bw,8,0.5
153,exp153,15,True,0.8,lm,low_bw,8,0.5
154,exp154,15,True,0.8,nn,low_bw,8,1.0
155,exp155,15,True,0.8,lm,low_bw,8,1.0
156,exp156,15,True,0.8,nn,low_bw,9,0.5
157,exp157,15,True,0.8,lm,low_bw,9,0.5
158,exp158,15,True,0.8,nn,low_bw,9,1.0
159,exp159,15,True,0.8,lm,low_bw,9,1.0
160,exp160,15,True,0.8,nn,low_bw,10,0.5
161,exp161,15,True,0.8,lm,low_bw,10,0.5
162,exp162,15,True,0.8,nn,low_bw,10,1.0
163,exp163,15,True,0.8,lm,low_bw,10,1.0
164,exp164,15,True,0.8,nn,low_bw,11,0.5
165,exp165,15,True,0.8,lm,low_bw,11,0.5
166,exp166,15,True,0.8,nn,low_bw,11,1.0
167,exp167,15,True,0.8,lm,low_bw,11,1.0
168,exp168,15,True,0.8,nn,low_bw,12,0.5
169,exp169,15,True,0.8,lm,low_bw,12,0.5
170,exp170,15,True,0.8,nn,low_bw,12,1.0
171,exp171,15,True,0.8,lm,low_bw,12,1.0
172,exp172,15,True,0.8,nn,low_bw,13,0.5
173,exp173,15,True,0.8,lm,low_bw,13,0.5
174,exp174,15,True,0.8,nn,low_bw,13,1.0
175,exp175,15,True,0.8,lm,low_bw,13,1.0
176,exp176,15,True,0.8,nn,low_bw,14,0.5
177,exp177,15,True,0.8,lm,low_bw,14,0.5
178,exp178,15,True,0.8,nn,low_bw,14,1.0
179,exp179,15,True,0.8,lm,low_bw,14,1.0
180,exp180,15,True,0.4,nn,high_bw,0,0.5
181,exp181,15,True,0.4,lm,high_bw,0,0.5
182,exp182,15,True,0.4,nn,high_bw,0,1.0
183,exp183,15,True,0.4,lm,high_bw,0,1.0
184,exp184,15,True,0.4,nn,high_bw,1,0.5
185,exp185,15,True,0.4,lm,high_bw,1,0.5
186,exp186,15,True,0.4,nn,high_bw,1,1.0
187,exp187,15,True,0.4,lm,high_bw,1,1.0
188,exp188,15,True,0.4,nn,high_bw,2,0.5
189,exp189,15,True,0.4,lm,high_bw,2,0.5
190,exp190,15,True,0.4,nn,high_bw,2,1.0
191,exp191,15,True,0.4,lm,high_bw,2,1.0
192,exp192,15,True,0.4,nn,high_bw,3,0.5
193,exp193,15,True,0.4,lm,high_bw,3,0.5
194,exp194,15,True,0.4,nn,high_bw,3,1.0
195,exp195,15,True,0.4,lm,high_bw,3,1.0
196,exp196,15,True,0.4,nn,high_bw,4,0.5
197,exp197,15,True,0.4,lm,high_bw,4,0.5
198,exp198,15,True,0.4,nn,high_bw,4,1.0
199,exp199,15,True,0.4,lm,high_bw,4,1.0
200,exp200,15,True,0.4,nn,high_bw,5,0.5
201,exp201,15,True,0.4,lm,high_bw,5,0.5
202,exp202,15,True,0.4,nn,high_bw,5,1.0
203,exp203,15,True,0.4,lm,high_bw,5,1.0
204,exp204,15,True,0.4,nn,high_bw,6,0.5
205,exp205,15,True,0.4,lm,high_bw,6,0.5
206,exp206,15,True,0.4,nn,high_bw,6,1.0
207,exp207,15,True,0.4,lm,high_bw,6,1.0
208,exp208,15,True,0.4,nn,high_bw,7,0.5
209,exp209,15,True,0.4,lm,high_bw,7,0.5
210,exp210,15,True,0.4,nn,high_bw,7,1.0
211,exp211,15,True,0.4,lm,high_bw,7,1.0
212,exp212,15,True,0.4,nn,high_bw,8,0.5
213,exp213,15,True,0.4,lm,high_bw,8,0.5
214,exp214,15,True,0.4,nn,high_bw,8,1.0
215,exp215,15,True,0.4,lm,high_bw,8,1.0
216,exp216,15,True,0.4,nn,high_bw,9,0.5
217,exp217,15,True,0.4,lm,high_bw,9,0.5
218,exp218,15,True,0.4,nn,high_bw,9,1.0
219,exp219,15,True,0.4,lm,high_bw,9,1.0
220,exp220,15,True,0.4,nn,high_bw,10,0.5
221,exp221,15,True,0.4,lm,high_bw,10,0.5
222,exp222,15,True,0.4,nn,high_bw,10,1.0
223,exp223,15,True,0.4,lm,high_bw,10,1.0
224,exp224,15,True,0.4,nn,high_bw,11,0.5
225,exp225,15,True,0.4,lm,high_bw,11,0.5
226,exp226,15,True,0.4,nn,high_bw,11,1.0
227,exp227,15,True,0.4,lm,high_bw,11,1.0
228,exp228,15,True,0.4,nn,high_bw,12,0.5
229,exp229,15,True,0.4,lm,high_bw,12,0.5
230,exp230,15,True,0.4,nn,high_bw,12,1.0
231,exp231,15,True,0.4,lm,high_bw,12,1.0
232,exp232,15,True,0.4,nn,high_bw,13,0.5
233,exp233,15,True,0.4,lm,high_bw,13,0.5
234,exp234,15,True,0.4,nn,high_bw,13,1.0
235,exp235,15,True,0.4,lm,high_bw,13,1.0
236,exp236,15,True,0.4,nn,high_bw,14,0.5
237,exp237,15,True,0.4,lm,high_bw,14,0.5
238,exp238,15,True,0.4,nn,high_bw,14,1.0
239,exp239,15,True,0.4,lm,high_bw,14,1.0
240,exp240,15,True,0.4,nn,medium_bw,0,0.5
241,exp241,15,True,0.4,lm,medium_bw,0,0.5
242,exp242,15,True,0.4,nn,medium_bw,0,1.0
243,exp243,15,True,0.4,lm,medium_bw,0,1.0
244,exp244,15,True,0.4,nn,medium_bw,1,0.5
245,exp245,15,True,0.4,lm,medium_bw,1,0.5
246,exp246,15,True,0.4,nn,medium_bw,1,1.0
247,exp247,15,True,0.4,lm,medium_bw,1,1.0
248,exp248,15,True,0.4,nn,medium_bw,2,0.5
249,exp249,15,True,0.4,lm,medium_bw,2,0.5
250,exp250,15,True,0.4,nn,medium_bw,2,1.0
251,exp251,15,True,0.4,lm,medium_bw,2,1.0
252,exp252,15,True,0.4,nn,medium_bw,3,0.5
253,exp253,15,True,0.4,lm,medium_bw,3,0.5
254,exp254,15,True,0.4,nn,medium_bw,3,1.0
255,exp255,15,True,0.4,lm,medium_bw,3,1.0
256,exp256,15,True,0.4,nn,medium_bw,4,0.5
257,exp257,15,True,0.4,lm,medium_bw,4,0.5
258,exp258,15,True,0.4,nn,medium_bw,4,1.0
259,exp259,15,True,0.4,lm,medium_bw,4,1.0
260,exp260,15,True,0.4,nn,medium_bw,5,0.5
261,exp261,15,True,0.4,lm,medium_bw,5,0.5
262,exp262,15,True,0.4,nn,medium_bw,5,1.0
263,exp263,15,True,0.4,lm,medium_bw,5,1.0
264,exp264,15,True,0.4,nn,medium_bw,6,0.5
265,exp265,15,True,0.4,lm,medium_bw,6,0.5
266,exp266,15,True,0.4,nn,medium_bw,6,1.0
267,exp267,15,True,0.4,lm,medium_bw,6,1.0
268,exp268,15,True,0.4,nn,medium_bw,7,0.5
269,exp269,15,True,0.4,lm,medium_bw,7,0.5
270,exp270,15,True,0.4,nn,medium_bw,7,1.0
271,exp271,15,True,0.4,lm,medium_bw,7,1.0
272,exp272,15,True,0.4,nn,medium_bw,8,0.5
273,exp273,15,True,0.4,lm,medium_bw,8,0.5
274,exp274,15,True,0.4,nn,medium_bw,8,1.0
275,exp275,15,True,0.4,lm,medium_bw,8,1.0
276,exp276,15,True,0.4,nn,medium_bw,9,0.5
277,exp277,15,True,0.4,lm,medium_bw,9,0.5
278,exp278,15,True,0.4,nn,medium_bw,9,1.0
279,exp279,15,True,0.4,lm,medium_bw,9,1.0
280,exp280,15,True,0.4,nn,medium_bw,10,0.5
281,exp281,15,True,0.4,lm,medium_bw,10,0.5
282,exp282,15,True,0.4,nn,medium_bw,10,1.0
283,exp283,15,True,0.4,lm,medium_bw,10,1.0
284,exp284,15,True,0.4,nn,medium_bw,11,0.5
285,exp285,15,True,0.4,lm,medium_bw,11,0.5
286,exp286,15,True,0.4,nn,medium_bw,11,1.0
287,exp287,15,True,0.4,lm,medium_bw,11,1.0
288,exp288,15,True,0.4,nn,medium_bw,12,0.5
289,exp289,15,True,0.4,lm,medium_bw,12,0.5
290,exp290,15,True,0.4,nn,medium_bw,12,1.0
291,exp291,15,True,0.4,lm,medium_bw,12,1.0
292,exp292,15,True,0.4,nn,medium_bw,13,0.5
293,exp293,15,True,0.4,lm,medium_bw,13,0.5
294,exp294,15,True,0.4,nn,medium_bw,13,1.0
295,exp295,15,True,0.4,lm,medium_bw,13,1.0
296,exp296,15,True,0.4,nn,medium_bw,14,0.5
297,exp297,15,True,0.4,lm,medium_bw,14,0.5
298,exp298,15,True,0.4,nn,medium_bw,14,1.0
299,exp299,15,True,0.4,lm,medium_bw,14,1.0
300,exp300,15,True,0.4,nn,low_bw,0,0.5
301,exp301,15,True,0.4,lm,low_bw,0,0.5
302,exp302,15,True,0.4,nn,low_bw,0,1.0
303,exp303,15,True,0.4,lm,low_bw,0,1.0
304,exp304,15,True,0.4,nn,low_bw,1,0.5
305,exp305,15,True,0.4,lm,low_bw,1,0.5
306,exp306,15,True,0.4,nn,low_bw,1,1.0
307,exp307,15,True,0.4,lm,low_bw,1,1.0
308,exp308,15,True,0.4,nn,low_bw,2,0.5
309,exp309,15,True,0.4,lm,low_bw,2,0.5
310,exp310,15,True,0.4,nn,low_bw,2,1.0
311,exp311,15,True,0.4,lm,low_bw,2,1.0
312,exp312,15,True,0.4,nn,low_bw,3,0.5
313,exp313,15,True,0.4,lm,low_bw,3,0.5
314,exp314,15,True,0.4,nn,low_bw,3,1.0
315,exp315,15,True,0.4,lm,low_bw,3,1.0
316,exp316,15,True,0.4,nn,low_bw,4,0.5
317,exp317,15,True,0.4,lm,low_bw,4,0.5
318,exp318,15,True,0.4,nn,low_bw,4,1.0
319,exp319,15,True,0.4,lm,low_bw,4,1.0
320,exp320,15,True,0.4,nn,low_bw,5,0.5
321,exp321,15,True,0.4,lm,low_bw,5,0.5
322,exp322,15,True,0.4,nn,low_bw,5,1.0
323,exp323,15,True,0.4,lm,low_bw,5,1.0
324,exp324,15,True,0.4,nn,low_bw,6,0.5
325,exp325,15,True,0.4,lm,low_bw,6,0.5
326,exp326,15,True,0.4,nn,low_bw,6,1.0
327,exp327,15,True,0.4,lm,low_bw,6,1.0
328,exp328,15,True,0.4,nn,low_bw,7,0.5
329,exp329,15,True,0.4,lm,low_bw,7,0.5
330,exp330,15,True,0.4,nn,low_bw,7,1.0
331,exp331,15,True,0.4,lm,low_bw,7,1.0
332,exp332,15,True,0.4,nn,low_bw,8,0.5
333,exp333,15,True,0.4,lm,low_bw,8,0.5
334,exp334,15,True,0.4,nn,low_bw,8,1.0
335,exp335,15,True,0.4,lm,low_bw,8,1.0
336,exp336,15,True,0.4,nn,low_bw,9,0.5
337,exp337,15,True,0.4,lm,low_bw,9,0.5
338,exp338,15,True,0.4,nn,low_bw,9,1.0
339,exp339,15,True,0.4,lm,low_bw,9,1.0
340,exp340,15,True,0.4,nn,low_bw,10,0.5
341,exp341,15,True,0.4,lm,low_bw,10,0.5
342,exp342,15,True,0.4,nn,low_bw,10,1.0
343,exp343,15,True,0.4,lm,low_bw,10,1.0
344,exp344,15,True,0.4,nn,low_bw,11,0.5
345,exp345,15,True,0.4,lm,low_bw,11,0.5
346,exp346,15,True,0.4,nn,low_bw,11,1.0
347,exp347,15,True,0.4,lm,low_bw,11,1.0
348,exp348,15,True,0.4,nn,low_bw,12,0.5
349,exp349,15,True,0.4,lm,low_bw,12,0.5
350,exp350,15,True,0.4,nn,low_bw,12,1.0
351,exp351,15,True,0.4,lm,low_bw,12,1.0
352,exp352,15,True,0.4,nn,low_bw,13,0.5
353,exp353,15,True,0.4,lm,low_bw,13,0.5
354,exp354,15,True,0.4,nn,low_bw,13,1.0
355,exp355,15,True,0.4,lm,low_bw,13,1.0
356,exp356,15,True,0.4,nn,low_bw,14,0.5
357,exp357,15,True,0.4,lm,low_bw,14,0.5
358,exp358,15,True,0.4,nn,low_bw,14,1.0
359,exp359,15,True,0.4,lm,low_bw,14,1.0
